gene_id,K002000061_49347,K002000061_49348,K002000061_49350,K002000061_49346,K002000061_49349,K002000061_49351
XLOC_019994,40,32,39,39,49,40
XLOC_019995,2691,3353,3235,3047,3853,3468
XLOC_019992,6456,6701,6965,4965,6218,5787
XLOC_019993,3281,3118,3245,2422,2879,2428
XLOC_019990,0,0,0,0,0,0
XLOC_019991,0,0,0,0,0,0
XLOC_012522,19,3,20,2,8,7
XLOC_012523,4913,6508,6381,4769,6881,6221
XLOC_012520,22,59,36,25,25,25
XLOC_012521,0,0,0,0,0,0
XLOC_002848,0,0,0,0,0,0
XLOC_002849,0,0,0,0,0,0
XLOC_012524,499,504,526,623,542,626
XLOC_005819,0,0,0,0,0,0
XLOC_005816,254,212,261,270,356,243
XLOC_005817,0,0,0,0,0,0
XLOC_005814,5771,5287,4785,4986,7030,6008
XLOC_005815,240,165,193,242,292,225
XLOC_005812,0,0,9,0,0,0
XLOC_002841,94,87,77,31,28,55
XLOC_002842,20,21,38,11,17,12
XLOC_002843,1342,1267,1517,598,727,757
XLOC_024789,2916,3162,3006,2898,3416,2983
XLOC_024788,0,2,0,0,0,0
XLOC_024783,208,225,225,165,260,159
XLOC_024782,244,281,215,226,333,300
XLOC_024781,4310,4172,4266,4222,4934,4297
XLOC_024780,6,9,18,11,17,10
XLOC_024787,0,0,0,0,0,0
XLOC_024786,0,0,0,0,0,0
XLOC_024785,0,0,0,0,0,0
XLOC_024784,118,137,125,129,115,108
XLOC_018717,0,0,0,0,0,0
XLOC_018716,1717,1725,1696,1526,1791,1672
XLOC_018715,1458,1490,1505,1432,1827,1828
XLOC_018714,0,0,0,0,0,0
XLOC_018713,1,0,0,0,0,0
XLOC_018712,0,0,0,0,0,0
XLOC_018711,0,0,0,0,0,0
XLOC_018710,61,98,73,67,88,76
XLOC_018719,0,0,0,0,0,0
XLOC_018718,0,0,0,0,0,1
XLOC_006549,0,0,0,0,0,0
XLOC_006548,0,0,0,0,0,0
XLOC_006545,9835,14598,10873,8603,7522,9446
XLOC_006544,0,0,0,0,0,0
XLOC_006547,0,0,0,0,0,0
XLOC_006546,0,0,0,0,0,0
XLOC_006541,3,10,7,0,0,8
XLOC_006540,0,0,0,0,0,0
XLOC_006543,0,0,0,0,0,0
XLOC_006542,2809,2709,2941,2395,2669,2345
XLOC_009250,0,0,0,0,0,0
XLOC_009251,0,0,0,0,0,2
XLOC_009252,1437,3064,1372,1271,1604,3089
XLOC_009253,5346,5064,5163,4709,5608,4875
XLOC_009254,205,261,200,127,235,271
XLOC_009255,6883,8180,6878,9468,7110,7343
XLOC_009256,69,68,59,62,59,51
XLOC_009257,46,0,19,20,16,30
XLOC_009258,1028,1121,990,879,1011,1143
XLOC_009259,0,0,0,0,0,0
XLOC_004037,2404,3529,2674,2653,2656,2968
XLOC_004036,201,289,242,207,223,285
XLOC_001007,794,563,346,610,770,613
XLOC_004034,0,0,0,12,29,38
XLOC_004033,96,94,94,43,81,136
XLOC_001000,2,3,0,1,1,4
XLOC_004031,598,669,613,603,577,585
XLOC_004030,1193,1389,1161,1503,1484,1457
XLOC_001009,4314,4320,4264,3831,5140,4712
XLOC_001008,0,0,0,0,0,0
XLOC_004039,1800,2085,1781,1763,2023,2019
XLOC_004038,16,25,18,16,13,18
XLOC_006376,0,0,0,0,5,0
XLOC_009788,0,0,0,0,0,0
XLOC_009789,125,134,107,71,79,106
XLOC_009782,1262,2695,2380,2484,3043,2323
XLOC_001157,412,361,359,294,460,368
XLOC_009780,707,1175,905,896,870,959
XLOC_009781,141,435,195,210,269,318
XLOC_009786,14,42,37,13,32,29
XLOC_009787,0,0,0,0,0,0
XLOC_009784,3934,3861,3905,3577,4481,3827
XLOC_009785,654,1263,952,823,826,1032
XLOC_002068,0,0,0,0,0,0
XLOC_002069,0,0,0,0,0,0
XLOC_002066,3,0,4,3,0,3
XLOC_002067,0,0,0,0,0,0
XLOC_002064,0,0,0,0,0,0
XLOC_002065,500,454,416,369,497,459
XLOC_002062,5919,10684,7021,7210,6472,8854
XLOC_002063,0,0,0,0,0,0
XLOC_002060,6054,5122,4940,4899,6083,4744
XLOC_002061,5,0,0,0,0,0
XLOC_004386,0,0,0,0,0,0
XLOC_006377,0,0,0,0,0,0
XLOC_003339,1909,2037,2151,1954,2280,2259
XLOC_003338,11,2,5,3,4,5
XLOC_003335,391,337,320,405,424,415
XLOC_003334,4,4,6,0,16,9
XLOC_003337,12,0,9,0,4,3
XLOC_003336,9,0,5,0,3,3
XLOC_003331,0,0,0,0,0,0
XLOC_003330,0,0,0,0,0,0
XLOC_003333,0,0,7,0,0,0
XLOC_003332,1365,1384,1274,1227,1458,1489
XLOC_001782,0,0,0,0,0,0
XLOC_001783,2648,4208,2835,2926,1473,3625
XLOC_001780,121,113,95,138,105,90
XLOC_001781,1492,1514,1491,1399,1727,1627
XLOC_001786,0,0,0,0,0,0
XLOC_001787,24,23,18,23,23,15
XLOC_001784,28,12,35,35,26,20
XLOC_001785,3637,4448,3566,3563,4307,3717
XLOC_001788,238,191,207,181,325,299
XLOC_001789,8,0,0,9,18,14
XLOC_006374,0,0,0,0,0,0
XLOC_023386,114,112,164,137,156,165
XLOC_023387,150,131,94,171,213,160
XLOC_008567,162,195,154,135,192,160
XLOC_008566,0,0,0,0,0,3
XLOC_008561,10,29,10,24,13,26
XLOC_023383,13,9,7,8,7,12
XLOC_001874,21,12,21,9,15,6
XLOC_001875,167,263,192,199,172,207
XLOC_001876,0,0,0,0,0,0
XLOC_001877,0,0,0,0,0,0
XLOC_001870,14098,11508,12865,12766,15566,13471
XLOC_001871,0,0,0,0,0,0
XLOC_001872,0,0,0,0,0,0
XLOC_001873,0,8,8,0,3,0
XLOC_008562,426,369,424,311,423,382
XLOC_001878,0,0,0,0,0,0
XLOC_001879,102,46,79,70,57,46
XLOC_026039,52,69,52,55,37,48
XLOC_026038,2440,5489,3087,3140,2272,3649
XLOC_026037,5,0,14,5,2,7
XLOC_026036,996,1717,1136,1442,2325,2016
XLOC_026035,2607,4414,3246,3192,2910,3543
XLOC_026034,5847,6012,5987,5758,6566,6274
XLOC_026033,175,225,172,125,160,163
XLOC_026032,623,589,579,598,638,611
XLOC_026031,58,66,71,53,51,51
XLOC_026030,8982,9144,9178,8060,10281,9095
XLOC_026781,0,0,0,0,0,0
XLOC_026780,0,0,0,0,0,0
XLOC_026783,0,0,0,0,0,0
XLOC_026782,0,0,0,0,0,0
XLOC_026785,0,0,0,0,0,0
XLOC_026784,0,0,0,0,0,0
XLOC_026787,0,0,0,0,0,0
XLOC_026786,0,0,0,0,0,0
XLOC_026789,0,0,0,0,0,0
XLOC_026788,0,0,0,0,0,0
XLOC_006375,0,0,0,0,0,0
XLOC_013925,144,158,157,121,112,123
XLOC_013924,210,225,182,245,297,244
XLOC_013927,3729,8093,4464,4917,4385,4571
XLOC_013926,71,107,86,117,141,139
XLOC_013921,188,150,188,244,249,180
XLOC_013920,0,0,0,0,0,0
XLOC_013923,2904,2866,2672,2780,3339,3097
XLOC_013922,110,103,136,182,188,177
XLOC_013929,1825,1398,1767,1720,1171,1776
XLOC_013928,290,263,280,230,257,255
XLOC_015448,5,7,3,5,0,14
XLOC_015449,8,15,9,7,19,10
XLOC_015444,0,0,0,0,0,0
XLOC_015445,5,5,0,0,7,0
XLOC_015446,0,1,3,3,12,8
XLOC_015447,4,5,3,4,0,1
XLOC_015440,21,30,17,18,20,23
XLOC_015441,0,0,0,0,0,0
XLOC_015442,0,0,0,0,0,0
XLOC_015443,0,0,0,0,1,0
XLOC_020066,0,0,0,0,0,0
XLOC_020067,385,387,438,434,530,460
XLOC_020064,1,0,3,0,2,3
XLOC_020065,2,10,8,7,11,3
XLOC_020062,1220,1385,1238,1231,1540,1412
XLOC_020063,0,0,0,0,1,1
XLOC_020060,581,583,669,605,832,706
XLOC_020061,0,0,0,0,0,0
XLOC_020068,0,0,0,0,0,0
XLOC_020069,1829,1581,1371,1327,1665,1515
XLOC_011844,8522,8695,8149,7518,9108,8448
XLOC_011845,3,1,0,2,2,2
XLOC_016814,4274,5887,5745,5580,6330,5741
XLOC_011847,4263,19719,4899,4421,24865,19062
XLOC_011840,4,0,0,0,0,0
XLOC_011841,3,36,28,24,41,33
XLOC_011842,0,0,0,0,0,0
XLOC_011843,39,34,29,18,39,19
XLOC_017004,481,1013,994,700,1461,1065
XLOC_017002,1273,1625,1527,1579,1681,1625
XLOC_014713,0,0,0,0,0,0
XLOC_014712,57,42,39,60,37,33
XLOC_014711,39975,33088,37332,31963,39453,33172
XLOC_014710,7,11,13,14,15,7
XLOC_014717,1418,1657,1635,1577,1664,1623
XLOC_014716,231,165,189,188,167,214
XLOC_014715,3046,3529,3153,3141,3699,3160
XLOC_014714,2903,2782,2782,2832,3650,4182
XLOC_014719,0,0,0,0,0,0
XLOC_014718,0,0,0,0,0,0
XLOC_021335,1,2,0,0,0,2
XLOC_017357,4221,4564,3941,3387,5458,4688
XLOC_017354,234,214,262,226,282,241
XLOC_017355,76,88,59,75,125,70
XLOC_017352,2210,2047,2164,1893,2407,2507
XLOC_017353,9,12,21,16,15,17
XLOC_021333,20,37,40,43,36,40
XLOC_021332,0,0,0,0,0,0
XLOC_021339,0,0,0,0,0,0
XLOC_021338,472,538,455,437,616,518
XLOC_017358,0,0,0,0,0,0
XLOC_017359,0,0,6,0,5,0
XLOC_026819,0,0,0,0,0,0
XLOC_026818,0,0,0,0,0,0
XLOC_016407,4962,5501,5165,5390,6421,5566
XLOC_016406,1370,1469,1499,1364,1684,1466
XLOC_016401,689,811,768,693,837,699
XLOC_016400,10532,11251,10176,8787,11647,10399
XLOC_016403,2829,2688,2673,3406,4225,3454
XLOC_023868,0,10,0,11,0,0
XLOC_023867,2319,2548,2403,2174,2655,2462
XLOC_023866,33,14,17,6,6,20
XLOC_026813,0,0,0,0,0,0
XLOC_023864,0,0,0,0,2,0
XLOC_026815,0,0,0,0,0,0
XLOC_026814,0,0,0,0,0,0
XLOC_023861,0,0,0,0,0,0
XLOC_026816,0,0,0,0,0,0
XLOC_025546,0,0,0,0,0,0
XLOC_025547,0,0,0,0,0,0
XLOC_025544,3392,3052,2910,2712,3300,2943
XLOC_025545,558,473,522,368,599,498
XLOC_025542,65,19,24,23,39,40
XLOC_025543,0,0,0,0,0,0
XLOC_025540,124,198,160,128,218,187
XLOC_025541,913,1041,920,812,901,948
XLOC_025548,0,0,0,0,0,0
XLOC_025549,0,11,11,0,0,4
XLOC_019606,1807,3860,2387,2731,2277,2708
XLOC_019607,340,397,439,401,534,394
XLOC_019604,13,13,11,5,22,15
XLOC_019605,1967,1992,1921,1767,2165,1934
XLOC_019602,3779,4128,3753,4056,5098,4207
XLOC_019603,604,447,520,563,955,625
XLOC_019600,22,24,13,19,34,15
XLOC_019601,8760,11833,8824,8837,8738,10477
XLOC_019608,190,223,267,220,235,259
XLOC_019609,4143,4053,4087,3652,4561,4331
XLOC_018555,7,0,0,0,0,0
XLOC_018554,0,2,3,0,0,0
XLOC_018557,4,0,0,3,5,5
XLOC_018556,0,4,0,0,0,0
XLOC_018551,86,131,65,95,132,154
XLOC_018550,79,136,88,116,156,139
XLOC_018553,5,0,0,7,5,5
XLOC_018552,146,186,152,126,178,226
XLOC_010762,49,55,55,35,46,25
XLOC_010763,59,58,70,55,51,76
XLOC_010760,54,70,74,55,86,58
XLOC_010761,21,23,16,11,7,30
XLOC_010766,19,18,16,18,19,8
